City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,Nara,JP,2022-03-29 05:34:58,34.6851,135.8049,63.5,37,100,1.16
207,Pirassununga,BR,2022-03-29 05:34:59,-21.9961,-47.4258,70.21,98,37,4.76
208,Graben-Neudorf,DE,2022-03-29 05:34:59,49.167,8.4924,53.35,69,100,1.32
209,Calvinia,ZA,2022-03-29 05:35:00,-31.4707,19.776,63.18,50,76,5.64
210,Srednekolymsk,RU,2022-03-29 05:35:00,67.45,153.6833,12.07,85,13,10.78
211,Maicao,CO,2022-03-29 05:35:01,11.3832,-72.2432,77.34,80,95,11.12
212,Geraldton,AU,2022-03-29 05:35:01,-28.7667,114.6,86.41,42,75,16.11
213,Tessalit,ML,2022-03-29 05:35:01,20.1986,1.0114,76.05,9,25,12.8
214,Catamarca,AR,2022-03-29 05:35:02,-28.4696,-65.7852,74.77,64,0,5.5
215,Naze,JP,2022-03-29 05:35:03,28.3667,129.4833,63.52,87,100,13.13
216,College,US,2022-03-29 05:34:36,64.8569,-147.8028,37.35,51,75,10.36
217,Gazli,UZ,2022-03-29 05:35:03,40.1333,63.45,43.9,32,12,18.66
218,Russell,US,2022-03-29 05:35:04,32.3502,-85.1999,58.23,85,0,0.0
219,Guerrero Negro,MX,2022-03-29 05:35:04,27.9769,-114.0611,62.51,75,88,11.32
220,Pangnirtung,CA,2022-03-29 05:35:05,66.1451,-65.7125,9.95,75,20,7.45
221,Coquimbo,CL,2022-03-29 05:30:33,-29.9533,-71.3436,56.93,100,100,2.3
222,Broken Hill,AU,2022-03-29 05:32:10,-31.95,141.4333,82.11,28,0,13.8
223,Kalachinsk,RU,2022-03-29 05:35:06,55.0529,74.5751,29.59,94,100,10.63
224,Ciucurova,RO,2022-03-29 05:35:06,44.9333,28.4833,43.14,62,100,6.46
225,Hambantota,LK,2022-03-29 05:35:06,6.1241,81.1185,86.34,79,40,4.61
226,Ancud,CL,2022-03-29 05:35:07,-41.8697,-73.8203,43.23,73,58,22.86
227,Umm Kaddadah,SD,2022-03-29 05:36:07,13.6017,26.6876,70.14,6,2,21.03
228,Ndola,ZM,2022-03-29 05:36:08,-12.9587,28.6366,66.54,92,100,5.01
229,Caala,AO,2022-03-29 05:36:08,-12.8525,15.5606,61.75,89,98,1.86
230,Thabazimbi,ZA,2022-03-29 05:36:08,-24.5917,27.4116,69.46,59,0,3.98
231,Beringovskiy,RU,2022-03-29 05:36:09,63.05,179.3167,0.86,96,84,8.75
232,Salem,IN,2022-03-29 05:31:36,11.65,78.1667,88.0,58,40,6.91
233,Mitsamiouli,KM,2022-03-29 05:36:09,-11.3847,43.2844,84.49,74,20,6.91
234,Ilulissat,GL,2022-03-29 05:36:10,69.2167,-51.1,30.22,47,49,1.14
235,Boyolangu,ID,2022-03-29 05:36:10,-8.1181,111.8935,86.04,68,58,0.87
236,Flin Flon,CA,2022-03-29 05:36:11,54.7682,-101.865,20.48,96,100,6.29
237,Saint-Leu,RE,2022-03-29 05:36:11,-21.15,55.2833,84.31,73,32,4.03
238,Juybar,IR,2022-03-29 05:36:12,36.6412,52.9124,50.16,64,81,9.55
239,Aliaga,PH,2022-03-29 05:36:12,15.5167,120.8667,98.94,29,48,14.85
240,Yerbogachen,RU,2022-03-29 05:36:12,61.2767,108.0108,21.78,77,100,9.93
241,Maragogi,BR,2022-03-29 05:36:13,-9.0122,-35.2225,76.77,85,81,4.43
242,Kropotkin,RU,2022-03-29 05:36:13,45.4375,40.5756,41.79,49,1,13.13
243,Rio Grande,BR,2022-03-29 05:36:14,-32.035,-52.0986,61.95,76,0,15.23
244,Yulara,AU,2022-03-29 05:36:14,-25.2406,130.9889,93.04,11,40,9.22
245,Praia,CV,2022-03-29 05:32:21,14.9215,-23.5087,68.54,77,20,9.22
246,La Baule-Escoublac,FR,2022-03-29 05:36:15,47.2922,-2.364,51.71,94,100,6.91
247,Kavieng,PG,2022-03-29 05:36:15,-2.5744,150.7967,83.32,72,89,14.2
248,Torbay,CA,2022-03-29 05:36:15,47.6666,-52.7314,38.28,96,100,10.36
249,Clyde River,CA,2022-03-29 05:36:16,70.4692,-68.5914,1.63,85,75,13.8
250,Gemlik,TR,2022-03-29 05:36:16,40.4309,29.1597,47.25,62,100,2.3
251,Necochea,AR,2022-03-29 05:36:17,-38.5473,-58.7368,65.98,59,5,15.77
252,Saldanha,ZA,2022-03-29 05:36:17,-33.0117,17.9442,59.05,89,100,18.95
253,Iskateley,RU,2022-03-29 05:36:18,67.6803,53.1512,14.07,92,100,7.87
254,Praia Da Vitoria,PT,2022-03-29 05:36:18,38.7333,-27.0667,55.76,88,40,5.7
255,Severomuysk,RU,2022-03-29 05:36:18,56.1481,113.4267,7.79,61,83,6.08
256,Namibe,AO,2022-03-29 05:36:19,-15.1961,12.1522,69.48,73,30,8.57
257,Achikulak,RU,2022-03-29 05:36:19,44.5517,44.8378,44.8,43,0,12.26
258,Tulun,RU,2022-03-29 05:36:20,54.5611,100.5792,27.1,77,61,0.51
259,Najran,SA,2022-03-29 05:36:20,17.4924,44.1277,61.45,21,21,9.1
260,Burgeo,CA,2022-03-29 05:36:20,47.6167,-57.6152,34.61,98,100,12.28
261,Lompoc,US,2022-03-29 05:36:21,34.6391,-120.4579,54.12,87,100,15.01
262,La Joya,MX,2022-03-29 05:36:21,18.6667,-99.4667,80.17,28,1,4.07
263,Otjimbingwe,NA,2022-03-29 05:36:22,-22.35,16.1333,74.16,58,67,2.77
264,Bolitoc,PH,2022-03-29 05:36:22,15.7395,119.8769,92.07,50,13,5.26
265,Tazovskiy,RU,2022-03-29 05:36:23,67.4667,78.7,20.73,93,100,14.83
266,Kitgum,UG,2022-03-29 05:36:23,3.2783,32.8867,77.34,59,85,1.86
267,Knysna,ZA,2022-03-29 05:36:24,-34.0363,23.0471,69.21,75,100,3.04
268,Yar-Sale,RU,2022-03-29 05:36:24,66.8333,70.8333,30.58,94,100,20.47
269,Kuminskiy,RU,2022-03-29 05:36:24,58.6667,66.5667,31.66,95,100,7.67
270,Madimba,TZ,2022-03-29 05:36:25,-10.4,40.3333,80.06,83,74,9.62
271,Borovsk,RU,2022-03-29 05:36:25,55.2064,36.4861,34.86,79,88,12.35
272,Port Lincoln,AU,2022-03-29 05:36:26,-34.7333,135.8667,68.9,60,88,13.09
273,Kaz,RU,2022-03-29 05:36:26,52.9113,87.3105,39.16,82,95,3.8
274,Sambava,MG,2022-03-29 05:36:27,-14.2667,50.1667,81.66,70,10,5.19
275,Puerto Ayora,EC,2022-03-29 05:36:27,-0.7393,-90.3518,77.61,87,51,5.48
276,Padang,ID,2022-03-29 05:36:27,-0.9492,100.3543,87.85,58,6,7.67
277,Caravelas,BR,2022-03-29 05:37:28,-17.7125,-39.2481,75.13,90,60,5.75
278,Snasa,NO,2022-03-29 05:37:28,64.2457,12.3778,22.41,90,96,2.71
279,Monywa,MM,2022-03-29 05:37:29,22.1167,95.1333,93.92,25,21,0.74
280,Ketchikan,US,2022-03-29 05:33:10,55.3422,-131.6461,45.07,65,100,4.61
281,Itumba,TZ,2022-03-29 05:37:29,-9.4,33.1833,67.21,90,100,5.06
282,Kamojima,JP,2022-03-29 05:37:30,34.0667,134.35,55.62,64,100,3.94
283,Gberia Fotombu,SL,2022-03-29 05:37:30,9.8833,-11.1667,75.49,70,100,4.07
284,Gondanglegi,ID,2022-03-29 05:37:30,-7.7479,112.0132,87.22,68,48,6.13
285,Monchegorsk,RU,2022-03-29 05:37:31,67.9397,32.8739,21.65,91,100,9.28
